Subject Code,Shot Number,Shot Type (2) / (3),Miss (0) /Made (1),Position,Height,Body Mass,Peak Braking Force,Peak Braking Power,Peak Propulsive Force,Peak Propulsive Power,Left Leg / Peak Propulsive Force,Right Leg / Peak Propulsive Force,Jump Height,Braking Duration,Propulsive Duration,Displacement Depth,Force at Min Displacement
13,2,2,0,,,,1531,776,2302,3299,1192,1111,14.0,0.251,0.225,18.0,1531
13,3,2,1,,,,1521,741,2358,3260,1148,1220,13.4,0.243,0.215,15.8,1521
13,4,2,1,,,,1113,298,2222,2686,1184,1042,7.9,0.802,0.234,5.5,1113
13,5,2,0,,,,1411,588,2254,3197,1141,1117,14.1,0.281,0.230,15.8,1411
13,6,2,1,,,,1459,622,2322,3526,1282,1048,15.6,0.274,0.228,15.6,1459
13,7,2,1,,,,1404,795,2127,2996,1138,991,13.5,0.320,0.250,19.7,1404
13,8,2,1,,,,1518,838,2368,3578,1265,1104,17.1,0.254,0.220,19.3,1518
13,9,2,1,,,,1448,700,2076,3005,1067,1009,12.5,0.276,0.248,19.3,1448
13,10,2,1,,,,1548,795,2142,3064,1161,986,12.8,0.291,0.235,19.1,1548
13,1,3,1,,,,1575,746,2401,3934,1272,1129,19.4,0.251,0.225,17.3,1575
13,2,3,1,,,,1514,691,2505,3778,1305,1201,18.0,0.298,0.211,15.8,1514
13,3,3,1,,,,1630,857,2318,3763,1228,1091,19.1,0.260,0.225,18.4,1630
13,4,3,1,,,,1603,782,2421,3717,1273,1148,18.6,0.260,0.216,17.7,1603
13,5,3,0,,,,1579,788,2376,3705,1235,1145,18.0,0.256,0.222,16.9,1579
13,6,3,1,,,,1684,902,2207,3648,1158,1051,18.9,0.266,0.226,20.8,1684
13,7,3,0,,,,1605,838,2327,3731,1201,1126,18.7,0.260,0.225,19.3,1605
13,8,3,1,,,,1485,765,2243,3283,1201,1048,15.4,0.326,0.234,20.4,1485
13,9,3,1,,,,1649,829,2265,3566,1208,1057,17.7,0.278,0.227,19.4,1649
13,10,3,1,,,,1661,875,2210,3566,1168,1045,18.5,0.277,0.235,20.9,1661
14,1,2,1,Power Forward,206,123.97,1352,95,2492,6760,1413,1190,8.4,0.109,2.538,1.6,1352
14,2,2,0,,,,2253,2131,2715,2187,1500,1224,10.4,0.566,0.190,108.5,2253
14,3,2,1,,,,1689,578,2855,3938,1549,1307,10.7,0.418,0.289,14.9,1689
14,4,2,1,,,,1811,1048,2535,2984,1365,1212,7.0,0.327,0.286,20.6,1811
14,5,2,1,,,,1715,876,2473,3096,1331,1176,7.2,0.360,0.307,18.9,1715
14,6,2,1,,,,1362,179,2481,5481,1374,1235,8.3,0.152,2.644,3.5,1358
14,7,2,0,,,,1734,773,2529,3362,1387,1151,8.4,0.382,0.308,17.7,1734
14,8,2,1,,,,2152,1678,2408,1838,1279,1321,8.3,0.432,0.211,82.8,2152
14,9,2,1,,,,1762,891,2528,3360,1413,1117,8.4,0.331,0.297,17.2,1762
14,10,2,0,,,,1702,499,2704,3503,1482,1227,9.3,0.509,0.296,16.1,1702
14,1,3,1,,,,1693,699,2347,2821,1361,986,6.1,0.377,0.298,15.3,1693
14,2,3,1,,,,1660,874,2286,2512,1292,995,5.5,0.349,0.323,17.7,1660
14,3,3,0,,,,1764,940,2213,3274,1260,1164,6.6,0.342,0.375,10.8,1764
14,4,3,0,,,,1790,1242,2179,2230,1179,1207,5.8,0.445,0.298,72.3,1747
14,5,3,1,,,,2061,1670,2269,1770,1285,1237,6.8,0.436,0.231,98.5,2061
14,6,3,1,,,,1754,1212,2189,2495,1382,1270,5.9,0.390,0.331,48.2,1674
14,7,3,0,,,,1572,836,2190,2748,1224,967,5.3,0.379,0.369,18.9,1572
14,8,3,0,,,,1574,670,2204,2763,1234,995,5.6,0.407,0.351,14.7,1574
14,9,3,0,,,,1765,766,2242,2659,1220,1308,6.1,0.449,0.293,27.9,1765
14,10,3,1,,,,1531,636,2291,2934,1291,999,5.9,0.430,0.373,14.7,1419
15,1,2,0,Forward,199,91.6,1252,453,1726,2184,1018,710,6.5,0.298,0.308,14.8,1252
15,2,2,1,,,,1346,536,1656,2026,980,695,5.5,0.290,0.309,15.7,1346
15,3,2,1,,,,1283,398,1640,1904,987,678,4.1,0.375,0.321,11.2,1215
15,4,2,1,,,,1449,519,1683,2153,992,724,6.1,0.229,0.289,12.6,1449
15,5,2,0,,,,1286,455,1530,1790,911,650,3.5,0.204,0.331,12.6,1286
15,6,2,1,,,,1251,446,1613,1813,950,667,4.4,0.384,0.306,13.2,1251
